token_id,tribe,age_group,scale_type,eyes,tail_type,body_markings,aura_effect,background,rarity_tier,lineage_hybridization
26,Obsidian Claw (Shadow Hybrid),Hatchling,Neon Circuit,Solar Amber,Coral Fan,Vine Spread,Heatwave,Ancient Jungle,Uncommon,Shadow
27,Obsidian Claw,Hatchling,Crystal Embedded,Ember,Neon Stream,Vine Spread,Heatwave,Coral Reef,Common,Pure
28,Obsidian Claw (Azure Hybrid),Hatchling,Titan Alloy,Solar Amber,Standard Coil,Lava Cracks,Solar Flare,Ancient Jungle,Rare,Azure
29,Obsidian Claw,Hatchling,Titan Alloy,Runic Red,Coral Fan,Shadow Veins,Heatwave,Sun Dunes,Common,Pure
30,Obsidian Claw (Titan Hybrid),Hatchling,Neon Circuit,Nocturne Blue,Crystal Hook,Lava Cracks,Solar Flare,Volcanic Plains,Rare,Titan
31,Obsidian Claw (Verdant Hybrid),Hatchling,Golden Ember,Bioluminescent,Forest Wrap,Coral Pattern,Crystal Bloom,Shadow Swamp,Uncommon,Verdant
32,Obsidian Claw,Hatchling,Titan Alloy,Nocturne Blue,Titan Crest,Vine Spread,Mist Cloak,Volcanic Plains,Common,Pure
33,Obsidian Claw (Verdant Hybrid),Hatchling,Golden Ember,Bioluminescent,Neon Stream,Coral Pattern,Mist Cloak,Sun Dunes,Rare,Verdant
34,Obsidian Claw (Titan Hybrid),Hatchling,Neon Circuit,Bioluminescent,Coral Fan,Runic Lines,Shadow Drift,Ancient Jungle,Uncommon,Titan
35,Obsidian Claw,Hatchling,Neon Circuit,Ember,Forest Wrap,Runic Lines,Neon Surge,Ancient Jungle,Common,Pure
36,Obsidian Claw (Azure Hybrid),Hatchling,Titan Alloy,Data Circuit,Forest Wrap,Solar Engraving,Heatwave,Shadow Swamp,Rare,Azure
37,Obsidian Claw (Shadow Hybrid),Hatchling,Golden Ember,Ember,Crystal Hook,Shadow Veins,Heatwave,Titan Ruins,Uncommon,Shadow
38,Obsidian Claw (Verdant Hybrid),Hatchling,Crystal Embedded,Nocturne Blue,Forest Wrap,Vine Spread,Heatwave,Volcanic Plains,Uncommon,Verdant
39,Obsidian Claw (Crystal Hybrid),Hatchling,Crystal Embedded,Bioluminescent,Solar Plume,Runic Lines,Mist Cloak,Volcanic Plains,Uncommon,Crystal
40,Obsidian Claw (Azure Hybrid),Hatchling,Titan Alloy,Solar Amber,Neon Stream,Circuit Map,Neon Surge,Sun Dunes,Rare,Azure
41,Obsidian Claw (Crystal Hybrid),Hatchling,Titan Alloy,Ember,Titan Crest,Lava Cracks,Neon Surge,Neon Abyss,Uncommon,Crystal
42,Obsidian Claw (Shadow Hybrid),Hatchling,Volcanic Black,Runic Red,Titan Crest,Shadow Veins,Crystal Bloom,Shadow Swamp,Rare,Shadow
43,Obsidian Claw (Azure Hybrid),Hatchling,Coral Gloss,Nocturne Blue,Neon Stream,Circuit Map,Shadow Drift,Coral Reef,Uncommon,Azure
44,Obsidian Claw (Titan Hybrid),Hatchling,Magma Veined,Pearlescent,Forest Wrap,Coral Pattern,Heatwave,Sun Dunes,Uncommon,Titan
45,Obsidian Claw (Verdant Hybrid),Hatchling,Titan Alloy,Data Circuit,Forest Wrap,Solar Engraving,Shadow Drift,Shadow Swamp,Rare,Verdant
46,Obsidian Claw,Hatchling,Golden Ember,Ember,Coral Fan,Solar Engraving,Crystal Bloom,Titan Ruins,Common,Pure
47,Obsidian Claw (Sunscale Hybrid),Hatchling,Titan Alloy,Solar Amber,Titan Crest,Solar Engraving,Mist Cloak,Neon Abyss,Uncommon,Sunscale
48,Obsidian Claw (Crystal Hybrid),Hatchling,Titan Alloy,Bioluminescent,Crystal Hook,Coral Pattern,Crystal Bloom,Sun Dunes,Uncommon,Crystal
49,Obsidian Claw,Hatchling,Titan Alloy,Ember,Crystal Hook,Shadow Veins,Solar Flare,Volcanic Plains,Common,Pure
50,Obsidian Claw (Crystal Hybrid),Hatchling,Coral Gloss,Solar Amber,Coral Fan,Lava Cracks,Solar Flare,Ancient Jungle,Legendary,Crystal
51,Obsidian Claw (Cyber Hybrid),Hatchling,Volcanic Black,Data Circuit,Neon Stream,Vine Spread,Solar Flare,Coral Reef,Legendary,Cyber
52,Obsidian Claw (Shadow Hybrid),Hatchling,Neon Circuit,Nocturne Blue,Standard Coil,Vine Spread,Mist Cloak,Sun Dunes,Uncommon,Shadow
53,Obsidian Claw,Hatchling,Golden Ember,Bioluminescent,Forest Wrap,Lava Cracks,Solar Flare,Shadow Swamp,Common,Pure
54,Obsidian Claw (Shadow Hybrid),Hatchling,Neon Circuit,Ember,Forest Wrap,Circuit Map,Heatwave,Neon Abyss,Rare,Shadow
55,Obsidian Claw (Cyber Hybrid),Hatchling,Neon Circuit,Solar Amber,Forest Wrap,Shadow Veins,Mist Cloak,Ancient Jungle,Uncommon,Cyber
56,Obsidian Claw (Sunscale Hybrid),Hatchling,Magma Veined,Solar Amber,Crystal Hook,Shadow Veins,Shadow Drift,Titan Ruins,Rare,Sunscale
57,Obsidian Claw (Azure Hybrid),Hatchling,Neon Circuit,Solar Amber,Solar Plume,Shadow Veins,Mist Cloak,Ancient Jungle,Rare,Azure
58,Obsidian Claw (Crystal Hybrid),Hatchling,Titan Alloy,Data Circuit,Solar Plume,Coral Pattern,Heatwave,Sun Dunes,Uncommon,Crystal
59,Obsidian Claw,Hatchling,Golden Ember,Bioluminescent,Crystal Hook,Vine Spread,Shadow Drift,Ancient Jungle,Common,Pure
60,Obsidian Claw,Hatchling,Golden Ember,Solar Amber,Coral Fan,Circuit Map,Shadow Drift,Neon Abyss,Common,Pure
61,Obsidian Claw,Hatchling,Neon Circuit,Runic Red,Titan Crest,Runic Lines,Solar Flare,Neon Abyss,Common,Pure
62,Obsidian Claw (Titan Hybrid),Hatchling,Coral Gloss,Bioluminescent,Crystal Hook,Shadow Veins,Solar Flare,Titan Ruins,Uncommon,Titan
63,Obsidian Claw (Azure Hybrid),Hatchling,Titan Alloy,Ember,Titan Crest,Runic Lines,Neon Surge,Neon Abyss,Uncommon,Azure
64,Obsidian Claw (Azure Hybrid),Hatchling,Magma Veined,Runic Red,Standard Coil,Lava Cracks,Solar Flare,Coral Reef,Rare,Azure
65,Obsidian Claw (Sunscale Hybrid),Hatchling,Coral Gloss,Data Circuit,Titan Crest,Runic Lines,Solar Flare,Neon Abyss,Uncommon,Sunscale
66,Obsidian Claw (Verdant Hybrid),Hatchling,Magma Veined,Solar Amber,Forest Wrap,Circuit Map,Crystal Bloom,Volcanic Plains,Uncommon,Verdant
67,Obsidian Claw (Verdant Hybrid),Hatchling,Volcanic Black,Ember,Coral Fan,Vine Spread,Heatwave,Shadow Swamp,Uncommon,Verdant
68,Obsidian Claw,Hatchling,Neon Circuit,Nocturne Blue,Titan Crest,Coral Pattern,Shadow Drift,Neon Abyss,Common,Pure
69,Obsidian Claw (Crystal Hybrid),Hatchling,Golden Ember,Bioluminescent,Coral Fan,Lava Cracks,Neon Surge,Coral Reef,Uncommon,Crystal
70,Obsidian Claw,Hatchling,Golden Ember,Nocturne Blue,Neon Stream,Runic Lines,Solar Flare,Titan Ruins,Common,Pure
71,Obsidian Claw (Crystal Hybrid),Hatchling,Volcanic Black,Ember,Standard Coil,Solar Engraving,Neon Surge,Coral Reef,Rare,Crystal
72,Obsidian Claw (Crystal Hybrid),Hatchling,Titan Alloy,Solar Amber,Coral Fan,Vine Spread,Shadow Drift,Sun Dunes,Rare,Crystal
73,Obsidian Claw (Azure Hybrid),Hatchling,Magma Veined,Pearlescent,Standard Coil,Coral Pattern,Shadow Drift,Neon Abyss,Uncommon,Azure
74,Obsidian Claw (Cyber Hybrid),Hatchling,Volcanic Black,Pearlescent,Coral Fan,Circuit Map,Crystal Bloom,Ancient Jungle,Rare,Cyber
75,Obsidian Claw (Cyber Hybrid),Hatchling,Volcanic Black,Nocturne Blue,Titan Crest,Runic Lines,Crystal Bloom,Sun Dunes,Uncommon,Cyber
76,Obsidian Claw,Hatchling,Golden Ember,Nocturne Blue,Neon Stream,Lava Cracks,Neon Surge,Sun Dunes,Common,Pure
77,Obsidian Claw,Hatchling,Magma Veined,Runic Red,Solar Plume,Lava Cracks,Shadow Drift,Coral Reef,Common,Pure
78,Obsidian Claw,Hatchling,Crystal Embedded,Nocturne Blue,Standard Coil,Lava Cracks,Crystal Bloom,Sun Dunes,Common,Pure
79,Obsidian Claw (Azure Hybrid),Hatchling,Golden Ember,Ember,Crystal Hook,Solar Engraving,Neon Surge,Neon Abyss,Uncommon,Azure
80,Obsidian Claw,Hatchling,Volcanic Black,Data Circuit,Titan Crest,Coral Pattern,Crystal Bloom,Sun Dunes,Common,Pure
81,Obsidian Claw (Shadow Hybrid),Hatchling,Titan Alloy,Solar Amber,Titan Crest,Runic Lines,Tidal Reflection,Coral Reef,Uncommon,Shadow
82,Obsidian Claw (Verdant Hybrid),Hatchling,Neon Circuit,Pearlescent,Crystal Hook,Runic Lines,Tidal Reflection,Titan Ruins,Rare,Verdant
83,Obsidian Claw (Verdant Hybrid),Hatchling,Crystal Embedded,Ember,Crystal Hook,Solar Engraving,Solar Flare,Ancient Jungle,Uncommon,Verdant
84,Obsidian Claw,Hatchling,Magma Veined,Data Circuit,Coral Fan,Coral Pattern,Solar Flare,Coral Reef,Common,Pure
85,Obsidian Claw (Verdant Hybrid),Hatchling,Crystal Embedded,Runic Red,Coral Fan,Coral Pattern,Tidal Reflection,Shadow Swamp,Uncommon,Verdant
86,Obsidian Claw,Hatchling,Neon Circuit,Data Circuit,Titan Crest,Coral Pattern,Mist Cloak,Ancient Jungle,Common,Pure
87,Obsidian Claw (Cyber Hybrid),Hatchling,Crystal Embedded,Bioluminescent,Standard Coil,Runic Lines,Crystal Bloom,Ancient Jungle,Rare,Cyber
88,Obsidian Claw,Hatchling,Volcanic Black,Ember,Neon Stream,Circuit Map,Solar Flare,Ancient Jungle,Common,Pure
89,Obsidian Claw (Sunscale Hybrid),Hatchling,Titan Alloy,Ember,Forest Wrap,Lava Cracks,Shadow Drift,Sun Dunes,Uncommon,Sunscale
90,Obsidian Claw,Hatchling,Golden Ember,Bioluminescent,Standard Coil,Runic Lines,Tidal Reflection,Neon Abyss,Common,Pure
91,Obsidian Claw,Hatchling,Crystal Embedded,Solar Amber,Crystal Hook,Circuit Map,Neon Surge,Coral Reef,Common,Pure
92,Obsidian Claw,Hatchling,Crystal Embedded,Ember,Crystal Hook,Coral Pattern,Heatwave,Neon Abyss,Common,Pure
93,Obsidian Claw,Hatchling,Volcanic Black,Nocturne Blue,Forest Wrap,Runic Lines,Solar Flare,Titan Ruins,Common,Pure
94,Obsidian Claw (Shadow Hybrid),Hatchling,Titan Alloy,Bioluminescent,Forest Wrap,Coral Pattern,Neon Surge,Shadow Swamp,Uncommon,Shadow
95,Obsidian Claw (Sunscale Hybrid),Hatchling,Volcanic Black,Pearlescent,Neon Stream,Circuit Map,Crystal Bloom,Coral Reef,Uncommon,Sunscale
96,Obsidian Claw,Hatchling,Volcanic Black,Runic Red,Solar Plume,Lava Cracks,Solar Flare,Neon Abyss,Common,Pure
97,Obsidian Claw,Hatchling,Titan Alloy,Runic Red,Crystal Hook,Circuit Map,Shadow Drift,Neon Abyss,Common,Pure
98,Obsidian Claw (Titan Hybrid),Hatchling,Golden Ember,Runic Red,Coral Fan,Coral Pattern,Crystal Bloom,Coral Reef,Rare,Titan
99,Obsidian Claw,Hatchling,Crystal Embedded,Data Circuit,Titan Crest,Vine Spread,Heatwave,Titan Ruins,Common,Pure
100,Obsidian Claw,Hatchling,Golden Ember,Pearlescent,Coral Fan,Solar Engraving,Neon Surge,Volcanic Plains,Common,Pure
101,Obsidian Claw (Crystal Hybrid),Hatchling,Golden Ember,Nocturne Blue,Neon Stream,Lava Cracks,Crystal Bloom,Neon Abyss,Uncommon,Crystal
102,Obsidian Claw,Hatchling,Magma Veined,Pearlescent,Forest Wrap,Shadow Veins,Shadow Drift,Coral Reef,Common,Pure
103,Obsidian Claw,Hatchling,Titan Alloy,Data Circuit,Forest Wrap,Shadow Veins,Crystal Bloom,Volcanic Plains,Common,Pure
104,Obsidian Claw (Shadow Hybrid),Hatchling,Volcanic Black,Pearlescent,Coral Fan,Runic Lines,Shadow Drift,Neon Abyss,Uncommon,Shadow
105,Obsidian Claw (Azure Hybrid),Hatchling,Volcanic Black,Data Circuit,Standard Coil,Shadow Veins,Shadow Drift,Titan Ruins,Rare,Azure
106,Obsidian Claw (Titan Hybrid),Hatchling,Volcanic Black,Solar Amber,Standard Coil,Lava Cracks,Heatwave,Ancient Jungle,Uncommon,Titan
107,Obsidian Claw,Hatchling,Golden Ember,Solar Amber,Standard Coil,Runic Lines,Shadow Drift,Sun Dunes,Common,Pure
108,Obsidian Claw,Hatchling,Crystal Embedded,Solar Amber,Neon Stream,Solar Engraving,Neon Surge,Ancient Jungle,Common,Pure
109,Obsidian Claw,Hatchling,Crystal Embedded,Ember,Titan Crest,Vine Spread,Tidal Reflection,Neon Abyss,Common,Pure
110,Obsidian Claw,Hatchling,Titan Alloy,Solar Amber,Forest Wrap,Solar Engraving,Tidal Reflection,Ancient Jungle,Common,Pure
111,Obsidian Claw (Titan Hybrid),Hatchling,Volcanic Black,Nocturne Blue,Coral Fan,Runic Lines,Solar Flare,Volcanic Plains,Uncommon,Titan
112,Obsidian Claw (Verdant Hybrid),Hatchling,Volcanic Black,Bioluminescent,Forest Wrap,Lava Cracks,Crystal Bloom,Neon Abyss,Rare,Verdant
113,Obsidian Claw (Verdant Hybrid),Hatchling,Neon Circuit,Bioluminescent,Standard Coil,Runic Lines,Solar Flare,Sun Dunes,Uncommon,Verdant
114,Obsidian Claw (Azure Hybrid),Hatchling,Coral Gloss,Pearlescent,Crystal Hook,Coral Pattern,Neon Surge,Volcanic Plains,Uncommon,Azure
115,Obsidian Claw (Sunscale Hybrid),Hatchling,Titan Alloy,Nocturne Blue,Solar Plume,Vine Spread,Shadow Drift,Sun Dunes,Uncommon,Sunscale
116,Obsidian Claw,Hatchling,Neon Circuit,Pearlescent,Standard Coil,Coral Pattern,Crystal Bloom,Volcanic Plains,Common,Pure
117,Obsidian Claw,Hatchling,Volcanic Black,Bioluminescent,Neon Stream,Shadow Veins,Crystal Bloom,Coral Reef,Common,Pure
118,Obsidian Claw,Hatchling,Volcanic Black,Ember,Standard Coil,Circuit Map,Heatwave,Titan Ruins,Common,Pure
119,Obsidian Claw (Verdant Hybrid),Hatchling,Golden Ember,Bioluminescent,Forest Wrap,Shadow Veins,Mist Cloak,Coral Reef,Uncommon,Verdant
120,Obsidian Claw (Crystal Hybrid),Hatchling,Golden Ember,Data Circuit,Forest Wrap,Solar Engraving,Crystal Bloom,Volcanic Plains,Uncommon,Crystal
121,Obsidian Claw,Hatchling,Golden Ember,Bioluminescent,Solar Plume,Coral Pattern,Crystal Bloom,Ancient Jungle,Common,Pure
122,Obsidian Claw (Sunscale Hybrid),Hatchling,Coral Gloss,Bioluminescent,Neon Stream,Coral Pattern,Crystal Bloom,Neon Abyss,Legendary,Sunscale
123,Obsidian Claw,Hatchling,Crystal Embedded,Pearlescent,Forest Wrap,Coral Pattern,Heatwave,Volcanic Plains,Common,Pure
124,Obsidian Claw (Azure Hybrid),Hatchling,Coral Gloss,Solar Amber,Titan Crest,Coral Pattern,Heatwave,Coral Reef,Uncommon,Azure
125,Obsidian Claw,Hatchling,Coral Gloss,Runic Red,Titan Crest,Solar Engraving,Mist Cloak,Titan Ruins,Common,Pure
126,Obsidian Claw,Hatchling,Neon Circuit,Nocturne Blue,Titan Crest,Circuit Map,Neon Surge,Coral Reef,Common,Pure
127,Obsidian Claw (Cyber Hybrid),Hatchling,Volcanic Black,Bioluminescent,Forest Wrap,Runic Lines,Solar Flare,Sun Dunes,Uncommon,Cyber
128,Obsidian Claw (Cyber Hybrid),Hatchling,Magma Veined,Ember,Standard Coil,Shadow Veins,Neon Surge,Ancient Jungle,Uncommon,Cyber
129,Obsidian Claw (Cyber Hybrid),Hatchling,Golden Ember,Pearlescent,Neon Stream,Circuit Map,Crystal Bloom,Coral Reef,Uncommon,Cyber
130,Obsidian Claw (Verdant Hybrid),Hatchling,Volcanic Black,Ember,Forest Wrap,Vine Spread,Heatwave,Ancient Jungle,Legendary,Verdant
131,Obsidian Claw,Hatchling,Titan Alloy,Ember,Forest Wrap,Lava Cracks,Crystal Bloom,Sun Dunes,Common,Pure
132,Obsidian Claw,Hatchling,Volcanic Black,Runic Red,Standard Coil,Vine Spread,Mist Cloak,Shadow Swamp,Common,Pure
133,Obsidian Claw,Hatchling,Crystal Embedded,Bioluminescent,Crystal Hook,Vine Spread,Solar Flare,Volcanic Plains,Common,Pure
134,Obsidian Claw (Azure Hybrid),Hatchling,Titan Alloy,Bioluminescent,Crystal Hook,Vine Spread,Heatwave,Sun Dunes,Rare,Azure
135,Obsidian Claw,Hatchling,Volcanic Black,Data Circuit,Solar Plume,Solar Engraving,Shadow Drift,Ancient Jungle,Common,Pure
136,Obsidian Claw,Hatchling,Magma Veined,Solar Amber,Solar Plume,Runic Lines,Solar Flare,Volcanic Plains,Common,Pure
137,Obsidian Claw (Cyber Hybrid),Hatchling,Magma Veined,Data Circuit,Crystal Hook,Vine Spread,Tidal Reflection,Titan Ruins,Uncommon,Cyber
138,Obsidian Claw (Verdant Hybrid),Hatchling,Magma Veined,Nocturne Blue,Coral Fan,Solar Engraving,Solar Flare,Coral Reef,Uncommon,Verdant
139,Obsidian Claw,Hatchling,Volcanic Black,Nocturne Blue,Forest Wrap,Shadow Veins,Solar Flare,Ancient Jungle,Common,Pure
140,Obsidian Claw,Hatchling,Titan Alloy,Data Circuit,Neon Stream,Runic Lines,Shadow Drift,Neon Abyss,Common,Pure
141,Obsidian Claw,Hatchling,Crystal Embedded,Runic Red,Solar Plume,Circuit Map,Mist Cloak,Coral Reef,Common,Pure
142,Obsidian Claw (Titan Hybrid),Hatchling,Golden Ember,Ember,Crystal Hook,Lava Cracks,Tidal Reflection,Ancient Jungle,Uncommon,Titan
143,Obsidian Claw,Hatchling,Golden Ember,Solar Amber,Neon Stream,Runic Lines,Tidal Reflection,Titan Ruins,Common,Pure
144,Obsidian Claw (Crystal Hybrid),Hatchling,Coral Gloss,Nocturne Blue,Titan Crest,Shadow Veins,Shadow Drift,Titan Ruins,Legendary,Crystal
145,Obsidian Claw (Sunscale Hybrid),Hatchling,Neon Circuit,Pearlescent,Titan Crest,Shadow Veins,Heatwave,Titan Ruins,Uncommon,Sunscale
146,Obsidian Claw,Hatchling,Golden Ember,Nocturne Blue,Crystal Hook,Coral Pattern,Heatwave,Neon Abyss,Common,Pure
147,Obsidian Claw,Hatchling,Volcanic Black,Solar Amber,Forest Wrap,Solar Engraving,Solar Flare,Volcanic Plains,Common,Pure
148,Obsidian Claw (Crystal Hybrid),Hatchling,Neon Circuit,Pearlescent,Standard Coil,Shadow Veins,Neon Surge,Coral Reef,Uncommon,Crystal
149,Obsidian Claw,Hatchling,Neon Circuit,Data Circuit,Titan Crest,Circuit Map,Mist Cloak,Shadow Swamp,Common,Pure
150,Obsidian Claw,Hatchling,Titan Alloy,Data Circuit,Titan Crest,Vine Spread,Solar Flare,Volcanic Plains,Common,Pure
151,Obsidian Claw,Hatchling,Magma Veined,Ember,Crystal Hook,Runic Lines,Mist Cloak,Neon Abyss,Common,Pure
152,Obsidian Claw,Hatchling,Volcanic Black,Runic Red,Titan Crest,Solar Engraving,Crystal Bloom,Shadow Swamp,Common,Pure
153,Obsidian Claw (Crystal Hybrid),Hatchling,Magma Veined,Solar Amber,Solar Plume,Shadow Veins,Tidal Reflection,Sun Dunes,Uncommon,Crystal
154,Obsidian Claw,Hatchling,Neon Circuit,Data Circuit,Solar Plume,Shadow Veins,Tidal Reflection,Volcanic Plains,Common,Pure
155,Obsidian Claw (Titan Hybrid),Hatchling,Volcanic Black,Data Circuit,Standard Coil,Solar Engraving,Tidal Reflection,Titan Ruins,Uncommon,Titan
156,Obsidian Claw (Azure Hybrid),Hatchling,Titan Alloy,Data Circuit,Standard Coil,Runic Lines,Shadow Drift,Volcanic Plains,Legendary,Azure
157,Obsidian Claw (Crystal Hybrid),Hatchling,Titan Alloy,Runic Red,Coral Fan,Coral Pattern,Crystal Bloom,Shadow Swamp,Rare,Crystal
158,Obsidian Claw,Hatchling,Titan Alloy,Ember,Forest Wrap,Lava Cracks,Neon Surge,Coral Reef,Common,Pure
159,Obsidian Claw (Shadow Hybrid),Hatchling,Volcanic Black,Runic Red,Crystal Hook,Circuit Map,Shadow Drift,Volcanic Plains,Uncommon,Shadow
160,Obsidian Claw (Verdant Hybrid),Hatchling,Volcanic Black,Runic Red,Crystal Hook,Solar Engraving,Heatwave,Shadow Swamp,Rare,Verdant
161,Obsidian Claw,Hatchling,Golden Ember,Ember,Crystal Hook,Vine Spread,Tidal Reflection,Volcanic Plains,Common,Pure
162,Obsidian Claw (Crystal Hybrid),Hatchling,Titan Alloy,Runic Red,Titan Crest,Vine Spread,Crystal Bloom,Ancient Jungle,Rare,Crystal
163,Obsidian Claw,Hatchling,Magma Veined,Nocturne Blue,Standard Coil,Coral Pattern,Tidal Reflection,Ancient Jungle,Common,Pure
164,Obsidian Claw (Crystal Hybrid),Hatchling,Titan Alloy,Bioluminescent,Neon Stream,Coral Pattern,Tidal Reflection,Shadow Swamp,Uncommon,Crystal
165,Obsidian Claw,Hatchling,Golden Ember,Runic Red,Crystal Hook,Coral Pattern,Tidal Reflection,Titan Ruins,Common,Pure
166,Obsidian Claw (Azure Hybrid),Hatchling,Crystal Embedded,Data Circuit,Neon Stream,Runic Lines,Tidal Reflection,Titan Ruins,Uncommon,Azure
167,Obsidian Claw (Sunscale Hybrid),Hatchling,Coral Gloss,Ember,Forest Wrap,Lava Cracks,Heatwave,Shadow Swamp,Rare,Sunscale
168,Obsidian Claw (Titan Hybrid),Hatchling,Neon Circuit,Data Circuit,Forest Wrap,Runic Lines,Tidal Reflection,Ancient Jungle,Uncommon,Titan
169,Obsidian Claw (Verdant Hybrid),Hatchling,Golden Ember,Solar Amber,Solar Plume,Vine Spread,Shadow Drift,Coral Reef,Rare,Verdant
170,Obsidian Claw (Azure Hybrid),Hatchling,Magma Veined,Runic Red,Solar Plume,Lava Cracks,Tidal Reflection,Titan Ruins,Rare,Azure
171,Obsidian Claw (Verdant Hybrid),Hatchling,Magma Veined,Bioluminescent,Forest Wrap,Vine Spread,Shadow Drift,Ancient Jungle,Uncommon,Verdant
172,Obsidian Claw,Hatchling,Coral Gloss,Pearlescent,Solar Plume,Solar Engraving,Heatwave,Titan Ruins,Common,Pure
173,Obsidian Claw,Hatchling,Coral Gloss,Bioluminescent,Coral Fan,Vine Spread,Heatwave,Sun Dunes,Common,Pure
174,Obsidian Claw (Verdant Hybrid),Hatchling,Crystal Embedded,Ember,Neon Stream,Coral Pattern,Solar Flare,Shadow Swamp,Rare,Verdant
175,Obsidian Claw (Shadow Hybrid),Hatchling,Volcanic Black,Data Circuit,Neon Stream,Circuit Map,Heatwave,Volcanic Plains,Rare,Shadow
176,Obsidian Claw (Crystal Hybrid),Hatchling,Magma Veined,Runic Red,Standard Coil,Runic Lines,Shadow Drift,Volcanic Plains,Uncommon,Crystal
177,Obsidian Claw (Sunscale Hybrid),Hatchling,Volcanic Black,Pearlescent,Solar Plume,Circuit Map,Neon Surge,Sun Dunes,Uncommon,Sunscale
178,Obsidian Claw (Shadow Hybrid),Hatchling,Coral Gloss,Bioluminescent,Crystal Hook,Coral Pattern,Neon Surge,Coral Reef,Legendary,Shadow
179,Obsidian Claw (Titan Hybrid),Hatchling,Neon Circuit,Nocturne Blue,Titan Crest,Coral Pattern,Heatwave,Titan Ruins,Uncommon,Titan
